ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
6.3644,-65.4643,DEV,-99,0.5829,20.9132,19.0261,17.6537
6.3698,-60.4516,SER,-99,0.156,20.5373,20.1286,19.8757
6.3707,-9.549,REX,-99,0.3411,21.2701,20.4302,19.7939
6.384,-50.5755,REX,-99,0.4339,22.523,20.722,19.8159
6.3851,-35.9365,SER,-99,0.6177,21.0431,19.2129,17.7553
6.3985,-14.7895,SER,-99,0.1998,19.8751,19.2064,18.8344
6.4067,-5.2158,SER,-99,0.3268,19.9101,18.9465,18.1839
6.4096,-48.6304,SER,-99,0.6667,21.9257,20.0364,18.5008
6.4097,-48.6295,EXP,-99,0.5198,22.1183,20.6426,19.5055
6.4189,-11.8574,REX,-99,0.3303,20.4832,19.1159,18.2689
6.445,-35.3239,SER,-99,0.5295,20.5836,18.6944,17.4617
6.4557,-11.5681,SER,-99,0.3716,19.7527,17.8949,16.7477
7.0155,21.6225,SER,-99,0.244,19.0097,17.754,17.0105
7.2074,-9.936,SER,-99,0.2985,19.9098,18.5684,17.7686
7.874,12.221,SER,-99,0.3265,19.9654,18.5178,17.6538
7.9332,-55.7491,SER,-99,0.3963,20.8226,19.7024,18.8124
7.9615,-2.8344,SER,-99,0.2784,19.2527,18.0238,17.2635
8.1361,-52.7481,SER,-99,0.3551,20.2373,18.5251,17.6635
8.2847,5.3769,SER,-99,0.3175,20.7514,20.1769,19.9545
9.3501,-10.5888,SER,-99,0.2772,19.0181,17.8434,17.1292
9.3721,-36.2993,REX,-99,0.4321,20.5983,19.2973,18.4589
9.5465,-45.4919,SER,-99,0.3402,20.0503,19.1122,18.5548
11.0571,15.5825,SER,-99,0.3518,19.9495,18.4723,17.6581
11.4552,3.8103,SER,-99,0.2934,19.4835,18.2692,17.4687
11.5461,-18.2712,SER,-99,0.316,20.1758,18.6191,17.7769
11.8539,-16.8796,EXP,-99,0.4939,20.6509,19.3247,18.4445
15.8416,-21.5594,SER,-99,0.2133,18.9326,17.6855,16.9448
17.3057,-58.695,SER,-99,0.2577,19.3323,18.1884,17.4829
17.5171,-17.8165,SER,-99,0.2871,19.7661,18.7199,18.0467
17.8025,2.4024,DEV,-99,0.1919,18.8388,17.8893,17.2184
17.811,9.5304,SER,-99,0.1877,19.9965,18.955,18.2776
17.9485,-43.0479,SER,-99,0.5825,20.7354,19.2599,18.0942
18.0162,-23.2914,SER,-99,0.3365,20.0012,18.5555,17.6367
18.438,-14.8012,REX,-99,0.5224,21.3829,20.1244,19.1579
18.5762,-25.9464,REX,-99,0.6624,21.5296,20.2459,19.0091
