ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
15.9969 ,-29.5664 ,EXP,-99,0.6264 ,21.3204 ,20.1146 ,19.0666 ,
16.1300 ,-19.8697 ,SER,-99,0.4296 ,21.2695 ,19.4717 ,18.5214 ,Huang et al. 2021
16.2232 ,2.9022 ,SER,-99,0.5701 ,22.9020 ,21.1207 ,19.8656 ,
16.2415 ,4.7260 ,SER,-99,0.2843 ,21.6108 ,20.4368 ,19.6728 ,
16.4700 ,-35.3418 ,EXP,-99,0.4488 ,21.3004 ,20.0967 ,19.3350 ,
16.4894 ,-39.6022 ,SER,-99,0.9162 ,22.0570 ,21.3316 ,19.9449 ,
16.6344 ,-61.5319 ,DEV,-99,0.7231 ,23.0108 ,21.0181 ,19.3259 ,
16.6417 ,-44.0383 ,SER,-99,0.9154 ,21.5142 ,20.8631 ,19.7456 ,
16.7413 ,-15.6928 ,DEV,-99,0.6292 ,21.0212 ,19.6697 ,18.4461 ,Jacobs et al.2019
16.7464 ,-44.5337 ,SER,-99,0.6501 ,21.2377 ,19.8988 ,18.6474 ,Jacobs et al.2019
16.7576 ,19.7725 ,REX,0.5404,0.5799 ,21.9552 ,20.2108 ,18.9912 ,
16.7705 ,-31.4780 ,SER,-99,0.7743 ,22.3043 ,20.3895 ,18.5620 ,Huang et al. 2021
16.7996 ,-21.9931 ,SER,-99,0.5687 ,21.7506 ,20.0901 ,18.7580 ,
16.8009 ,-16.8580 ,SER,-99,0.3709 ,20.8842 ,19.3550 ,18.4775 ,Huang et al. 2020
17.0668 ,-60.2484 ,SER,-99,0.3636 ,19.5234 ,17.7200 ,16.8054 ,
17.1106 ,-26.3391 ,REX,-99,0.2444 ,21.1368 ,19.9983 ,19.3064 ,
17.1751 ,6.4121 ,SER,0.5479,0.5997 ,21.2314 ,19.7092 ,18.5016 ,
17.2022 ,-31.8765 ,SER,-99,0.8351 ,21.2607 ,20.5361 ,19.3493 ,Stein et al.2022
17.2022 ,-31.8765 ,SER,-99,0.8351 ,21.2607 ,20.5361 ,19.3493 ,
17.2058 ,7.9891 ,SER,-99,0.4757 ,20.8076 ,18.9419 ,17.8503 ,
17.2315 ,-28.0326 ,SER,-99,0.3703 ,21.1758 ,19.5237 ,18.5905 ,
17.3057 ,-58.6950 ,SER,-99,0.2577 ,19.3323 ,18.1884 ,17.4829 ,
17.3165 ,-8.6377 ,DEV,-99,0.8992 ,23.5624 ,21.6239 ,19.6026 ,
17.3286 ,6.1349 ,SER,-99,0.2621 ,19.6970 ,18.2806 ,17.4606 ,
17.3811 ,13.3330 ,DEV,-99,0.8110 ,23.3580 ,21.6025 ,19.8161 ,Stein et al.2022
17.5171 ,-17.8165 ,SER,-99,0.2871 ,19.7661 ,18.7199 ,18.0467 ,
17.7915 ,-20.0529 ,REX,-99,0.7329 ,21.0806 ,20.3766 ,19.5291 ,
17.7974 ,17.6847 ,SER,0.523,0.5454 ,21.0185 ,19.5593 ,18.4633 ,
17.8999 ,32.4277 ,EXP,-99,0.8456 ,22.1029 ,20.9406 ,19.3246 ,
17.9311 ,27.3600 ,SER,-99,0.2665 ,21.1524 ,19.8440 ,18.1762 ,
17.9485 ,-43.0479 ,SER,-99,0.5825 ,20.7354 ,19.2599 ,18.0942 ,
17.9955 ,-39.1283 ,REX,-99,0.6969 ,21.0466 ,20.2528 ,19.4747 ,
18.0162 ,-23.2914 ,SER,-99,0.3365 ,20.0012 ,18.5555 ,17.6367 ,
18.1111 ,3.2937 ,SER,-99,0.2574 ,19.7652 ,18.7105 ,17.8598 ,
18.1852 ,-18.3088 ,SER,-99,0.5160 ,21.5992 ,19.7589 ,18.6097 ,
18.3007 ,25.0855 ,DEV,-99,0.3990 ,21.7623 ,20.3707 ,19.5764 ,
18.3897 ,-38.2203 ,DEV,-99,0.8045 ,23.2215 ,21.1729 ,19.3412 ,Stein et al.2022
18.5733 ,-30.1518 ,SER,-99,0.1238 ,18.5371 ,17.7835 ,17.2575 ,
18.5762 ,-25.9464 ,REX,-99,0.6624 ,21.5296 ,20.2459 ,19.0091 ,Stein et al.2022
18.6492 ,-39.9858 ,SER,-99,0.3148 ,21.3853 ,20.0261 ,19.2865 ,
18.6505 ,-47.1072 ,SER,-99,0.5750 ,20.7698 ,19.9267 ,19.2240 ,
18.7818 ,-32.5207 ,DEV,-99,0.7144 ,22.6190 ,21.3202 ,19.9161 ,
18.7839 ,-7.5260 ,EXP,-99,0.6004 ,21.6005 ,20.2164 ,19.0415 ,
18.8332 ,-7.9288 ,DEV,-99,0.5807 ,20.5248 ,19.5153 ,18.4905 ,
18.8893 ,-65.1991 ,DEV,-99,0.1956 ,20.4286 ,19.2800 ,18.5995 ,
18.9703 ,-24.2921 ,DEV,-99,0.6165 ,20.7567 ,19.4995 ,18.4063 ,
19.0198 ,-49.3707 ,SER,-99,0.3011 ,21.3060 ,20.4103 ,19.9371 ,
19.2848 ,2.1263 ,SER,0.5972,0.6143 ,21.7102 ,20.3966 ,19.2737 ,
19.4949 ,-5.4550 ,SER,0.5797104,0.5573 ,21.2460 ,19.6090 ,18.3130 ,Huang et al. 2020
19.5052 ,9.9646 ,SER,0.6897,0.7230 ,23.5253 ,21.5150 ,19.8346 ,
