ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
129.9505 ,30.6284 ,DEV,0.7653 ,0.7754 ,22.7580 ,20.9127 ,19.1034 ,Huang et al. 2021
131.6362 ,-1.9047 ,DEV,-99,0.8208 ,22.3664 ,20.6212 ,18.7451 ,Huang et al. 2021
133.1155 ,26.4614 ,REX,0.1840 ,0.6091 ,22.0859 ,20.6241 ,19.2918 ,Huang et al. 2021
133.5531 ,-4.4026 ,DEV,-99,0.8210 ,22.6988 ,21.2022 ,19.3177 ,Huang et al. 2020
133.6197 ,10.1374 ,SER,0.2978 ,0.3089 ,18.8675 ,17.2387 ,16.3587 ,Huang et al. 2020
134.8207 ,6.2549 ,SER,-99,0.6049 ,21.5998 ,20.1461 ,18.9471 ,Huang et al. 2021
135.3125 ,9.9401 ,DEV,-99,0.8464 ,23.5171 ,21.3024 ,19.3575 ,Huang et al. 2020
136.4655 ,13.0307 ,SER,0.6349 ,0.6513 ,21.2628 ,19.7008 ,18.2372 ,Stein et al.2022
137.9498 ,28.4536 ,SER,0.7390 ,0.7449 ,22.3087 ,20.5242 ,18.8066 ,Huang et al. 2021
138.8482 ,-0.9226 ,SER,-99,0.5056 ,21.4395 ,19.4742 ,18.2928 ,Stein et al.2022
140.3573 ,18.1715 ,SER,-99,0.6788 ,20.7164 ,18.8140 ,17.1945 ,The Master Lens Database
140.4475 ,-2.0539 ,SER,-99,0.3712 ,20.6623 ,18.9696 ,18.0524 ,Stein et al.2022
140.6980 ,15.6920 ,SER,-99,0.6930 ,21.6504 ,20.8216 ,19.8027 ,Stein et al.2022
