ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
43.2517,20.7043,SER,,0.1916,19.7556,18.0846,16.942
43.3924,-28.77,SER,,0.4651,20.1885,18.8476,17.9668
43.471,-28.165,SER,0.2728,0.2459,18.9923,17.5601,16.7756
43.9416,-54.8237,SER,,0.5579,20.7092,19.8121,19.1223
44.2687,-20.3155,REX,,0.7221,22.842,21.4222,19.9747
44.2983,-32.5098,SER,,0.6748,22.1135,20.1463,18.6423
44.766,-20.7706,SER,,0.2779,18.8984,17.508,16.6969
44.8186,-26.7368,DEV,,0.8004,23.2733,21.3707,19.561
45.0943,-7.6865,SER,0.5666,0.5978,20.9908,19.5202,18.227
45.2832,-28.1261,SER,0.3721,0.3812,19.5114,17.6596,16.7338
45.4853,-28.809,SER,,0.2473,19.1437,17.7774,17.0435
45.4943,-4.0897,EXP,,0.7023,22.0284,20.7345,19.4625
45.5738,-22.1085,SER,,0.7094,23.4556,21.3693,19.7394
45.5767,-13.1093,EXP,,0.6339,22.3903,20.6827,19.2756
45.7622,-61.2902,SER,,0.3999,21.144,20.1485,18.495
45.925,-45.0542,DEV,,0.8207,22.0565,21.1194,19.4394
45.9404,-13.4087,DEV,,0.6894,22.9721,21.2919,19.7841
46.0064,-22.3677,SER,,0.2553,17.8068,16.3333,15.5445
46.2273,-5.4499,REX,,0.4299,22.1801,20.3601,19.377
46.5797,-20.9394,SER,,0.6852,22.5472,20.9915,19.4912
46.5962,-8.0612,SER,0.2873,0.2968,19.3717,17.7379,16.8328
46.9585,-19.7979,DEV,,0.7894,22.7992,21.0396,19.2289
47.2494,-34.6868,SER,,0.398,21.0065,19.411,18.3291
47.3707,-10.4736,SER,,0.2154,19.0808,17.7164,16.8764
47.6049,-44.5,SER,,0.157,19.2955,18.8371,18.6083
47.669,-50.8221,SER,,0.8401,23.1413,21.5946,19.8046
47.7202,-22.723,SER,,0.1305,18.5938,17.7699,17.2003
48.4303,-19.7354,REX,,0.9493,22.9372,21.5934,19.7491
48.598,-54.6504,SER,,0.7375,21.2048,20.6723,19.566
48.6966,-31.179,SER,,0.7204,21.923,20.3641,18.8278
48.8176,-31.1305,DEV,,0.261,20.697,19.2724,18.4781
49.2616,-23.3372,DEV,,0.7373,22.5331,20.6436,18.9637
49.2773,-43.4571,REX,,0.824,21.1915,20.535,19.4972
49.3616,-28.214,SER,,0.7016,22.1323,20.5816,19.1032
49.4191,-17.1849,SER,,0.4983,20.3231,18.7776,17.7162
49.4749,-44.352,SER,,0.2471,18.9247,17.5095,16.7569
49.8197,-30.7148,SER,,0.4997,20.9276,19.8234,18.6206
49.9923,-3.4863,SER,,0.5066,21.682,19.9396,18.8059
50.053,-64.8443,DEV,,0.769,23.0133,21.4118,19.7225
50.5244,-22.393,EXP,,0.5993,21.0104,19.938,19.1247
50.5707,-25.0292,SER,,0.3792,21.2287,19.4682,18.5085
50.6343,-8.0516,SER,,0.1637,20.4081,19.8906,19.5406
51.1016,-2.027,SER,,0.5286,21.4869,19.6521,18.4139
51.9453,-27.2953,SER,,0.8422,22.9989,21.0242,19.0373
51.9643,-15.5273,DEV,,0.5783,20.756,18.8711,17.4895
51.9919,-16.8622,DEV,,0.7768,23.0155,21.4602,19.8246
52.1292,-15.8884,SER,,0.125,20.7629,20.3153,19.9891
52.1752,-43.3363,SER,,0.3683,21.4092,20.0594,18.2078
